Drug1_name,Drug1_CID,Drug2_name,Drug2_CID,HSA,Bliss,Loewe,ZIP,Source_DB,DB_ID
PF-04691502,25033539,Cobimetinib,16222096,14.34,20.517,11.785,21.315,DrugcombDB,466813
temozolomide,5394,MK-5108,24748204,1.4,8.7,-54.08,14.35,DrugcombPortal,11206
Carfilzomib,11556711,3-methyladenine,135398661,-5.16,-7.58,-42.58,-5.34,DrugcombPortal,1459832
Demecolcine,220401,Ruxolitinib,25126798,13.15,18.77,10.45,19.88,DrugcombPortal,458911
CHLORAMBUCIL,2708,TOPOTECAN HYDROCHLORIDE,60699,-6.06,-9.27,-6.87,-9.56,DrugcombDB,321241
SN-38,104842,TOPOTECAN HYDROCHLORIDE,60699,3.22,2.75,-4.33,-8.94,DrugcombDB,147665
DEXRAZOXANE,71384,ROMIDEPSIN,5352062,2.03,1.02,-2.56,-0.31,DrugcombDB,319166
Veliparib,11960529,racemic-Tasocitinib,9818231,0.65,2.54,-0.09,-4.77,DrugcombPortal,1394228
CARBOPLATIN,426756,ABT-888,45480520,0.52,1.46,-7.75,0.86,DrugcombDB,62212
Fludarabine,657237,RAF265,11656518,12.78,46.05,8.44,30.26,DrugcombPortal,1276351
PLICAMYCIN,163659,CARMUSTINE,2578,-3.41,-1.82,-50.78,0.68,DrugcombDB,239584
Genz-668764,53248764,Fosmidomycin,572,0.274,-0.964,-0.529,-1.889,DrugcombDB,468106
CYCLOPHOSPHAMIDE,2907,MK-5108,24748204,1.2,1.83,-27.49,1.8,DrugcombDB,43823
IVERMECTIN,6321424,ANASTROZOLE,2187,-10.35,-18.93,-10.35,-18.93,DrugcombDB,94648
vincristine,5978,Tideglusib,11313622,-15.7,-15.15,-16.52,1.5,DrugcombPortal,1425065
"001, RAD",6442177,dorsomorphin,11524144,-25.29,-21.38,3.51,-0.66,DrugcombPortal,1265042
celecoxib,2662,6-Mercaptopurine,667490,2.9,0.86,-17.44,-4.51,DrugcombPortal,133708
VINBLASTINE,13342,SUNITINIB,5329102,10.45,7.1,3.66,4.59,DrugcombDB,29857
VANDETANIB,3081361,BUSULFAN,2478,-2.98,-4.05,-4.24,-5.22,DrugcombDB,371360
MK-4541,59691338,BEZ-235,11977753,7.97,6.4,-10.12,8.78,DrugcombDB,24358
ANTIBIOTIC AY 22989,5284616,METHOXSALEN,4114,-4.92,-3.2,-30.16,-4.98,DrugcombDB,267828
CYCLOPHOSPHAMIDE,2907,LAPATINIB,208908,7.4,8.55,-28.16,4.38,DrugcombDB,80682
LETROZOLE,3902,CHEMBL277800,354624,-4.95,-1.1,-4.39,1.92,DrugcombDB,177437
gemcitabine,60750,841290-80-0,11213558,-15.06,-6.98,19.46,-3.23,DrugcombPortal,1280465
CEVIMELINE,83898,ACARBOSE,41774,-9.3,-22.8,-9.31,-22.8,DrugcombDB,97680
Pralatrexate,148121,Emcyt (Pharmacia),54611422,0.25,0.4,0.23,-1.04,DrugcombPortal,141970
CHLORAMBUCIL,2708,SN-38,104842,-2.64,-11.44,-8.07,-17.21,DrugcombDB,310952
ADM hydrochloride,32874,23541-50-6,62770,-2.92,-2.09,-19.08,-0.3,DrugcombPortal,175603
CRIZOTINIB,11626560,NSC141540,36462,-1.69,-1.22,-8.24,1.03,DrugcombDB,335950
raloxifene,5035,mitoxantrone,4212,1.97,-0.16,-4.5,-0.67,DrugcombPortal,239009
Vorinostat,5311,Erlotinib,176870,19.64,19.07,11.81,17.74,DrugcombPortal,87245
NSC733504,6442177,BORTEZOMIB,387447,1.98,5.11,1.54,2.93,DrugcombDB,207762
temozolomide,5394,docetaxel,148124,-17.49,-6.03,-16.29,2.59,DrugcombPortal,208496
1032350-13-2,46930998,TCS JNK 5a,766949,-24.08,20.72,-25.58,6.06,DrugcombPortal,1311649
Gramicidin S,73357,ATOVAQUONE,74989,-5.44,-5.76,-7.95,-2.17,DrugcombPortal,1467128
MAPROTILINE,4011,VALPROIC ACID,3121,-41.04,-47.25,-41.09,-47.25,DrugcombDB,106786
Bexarotene,82146,temozolomide,5394,-29.95,-38.15,-16.03,-12.18,DrugcombPortal,1426671
Procarbazine hydrochloride,9703,Emcyt (Pharmacia),54611422,-1.64,2.84,-1.58,1.32,DrugcombPortal,267960
doxorubicin,31703,Sunitinib,5329102,-1.13,-6.95,-3.57,-4.96,DrugcombPortal,50905
ETOPOSIDE,36462,GELDANAMYCIN,5288382,2.14,0.4,-7.02,-0.58,DrugcombDB,85673
thalidomide,5426,amifostine,2141,-2.74,-0.47,0.96,4.65,DrugcombPortal,266085
23541-50-6,62770,Imatinib,5291,7.11,8.82,-10.31,-0.72,DrugcombPortal,334692
proguanil,6178111,VALPROIC ACID,3121,-10.25,-22.12,-10.27,-22.12,DrugcombPortal,92974
BMS-754807,24785538,Cyanein,5287620,6.346,3.715,3.694,-3.055,DrugcombDB,490142
ATOVAQUONE,74989,Elesclomol,300471,0.31,-1.12,-3.28,0.72,DrugcombPortal,1462148
PROBENECID,4911,TOPIRAMATE,5284627,-8.22,-23.28,-8.22,-23.28,DrugcombDB,104847
ADM hydrochloride,32874,NSC-127716,451668,9.31,0.98,9.2,-2.11,DrugcombPortal,239152
su6656,5312137,Cediranib,9933475,-37.71,-30.97,-2.88,-7.05,DrugcombPortal,1369464
DACARBAZINE,135398738,THALIDOMIDE,5426,-2.9,-0.25,-3.7,0.95,DrugcombDB,376689
ISOSORBIDE DINITRATE,6883,Dihydroartemisinin,3000518,4.16,1.71,4.16,1.71,DrugcombPortal,128889
Afatinib,10184653,957054-30-7,17755052,2.22,2.2,0.61,4.26,DrugcombPortal,1193447
Vincristine sulfate,249332,Ixabepilone,6445540,-0.41,-1.33,-3.59,-0.39,DrugcombPortal,156558
testolactone,13769,metronidazole,4173,11.41,-1.97,11.4,-1.97,DrugcombPortal,114585
MELPHALAN HYDROCHLORIDE,9927978,ADM HYDROCHLORIDE,32874,-3.97,-4.35,-7.26,-4.7,DrugcombDB,438125
su6656,5312137,112648-68-7,104794,-0.87,22.15,15.31,24.91,DrugcombPortal,1370467
GEFITINIB,123631,BUSULFAN,2478,4.21,1.84,4.16,-5.35,DrugcombDB,369440
paclitaxel,36314,Deforolimus,11520894,9.77,-1.46,7.4,-0.57,DrugcombPortal,54455
actinomycin D,457193,CHEMBL277800,354624,-3.3,-1.61,-9.72,-2.33,DrugcombPortal,287858
CELECOXIB,2662,CYCLOPHOSPHAMIDE,2907,-0.92,0.79,-0.65,1.29,DrugcombDB,175939
CHLORAMBUCIL,2708,BUSULFAN,2478,9.72,7.15,8.21,5.56,DrugcombDB,383210
L778123,216453,GELDANAMYCIN,5288382,14.12,10.06,9.64,6.68,DrugcombDB,14692
URACIL MUSTARD,6194,NSC256439,42890,2.02,-1.63,1.35,-5.14,DrugcombDB,440838
Riociguat,11304743,MARIZOMIB,11347535,1.45,0.31,-12.95,1.11,DrugcombPortal,447305
NSC-127716,451668,CISPLATINO,441203,4.08,3.64,3.89,-0.82,DrugcombDB,146519
Stattic,2779853,GSK429286A,11373846,-1.91,-1.47,-16.78,-5.51,DrugcombPortal,1179021
LETROZOLE,3902,IMATINIB,5291,-2.49,1.81,-2.49,2.74,DrugcombDB,288101
URACIL MUSTARD,6194,ALLOPURINOL,135401907,-4.1,-3.37,-13.35,-7.35,DrugcombDB,389253
teniposide,452548,paclitaxel,36314,3.55,0.37,0.67,0.98,DrugcombPortal,298059
MK-5108,24748204,DASATINIB,3062316,8.8,5.29,4.18,0.87,DrugcombDB,15343
TAMOXIFEN CITRATE,2733525,METHOXSALEN,4114,-1.42,1.7,-14.09,-1.48,DrugcombDB,133805
Navelbine ditartrate (TN),25136944,Antibiotic AD 32,41744,2.08,1.02,0.16,1.96,DrugcombPortal,333320
topotecan,60700,891494-63-6,46239015,9.62,7.2,5.82,9.18,DrugcombPortal,22790
CABAZITAXEL,9854073,raloxifene,5035,-0.58,2.14,-25.92,2.96,DrugcombPortal,410192
VX-702,10341154,Veliparib,11960529,-5.66,21.27,-15.22,12.48,DrugcombPortal,1407796
Navelbine ditartrate (TN),25136944,Pralatrexate,148121,1.3,0.49,0.72,-0.47,DrugcombPortal,383160
781661-94-7,11178236,GW2580,11617559,-61.96,-71.89,-14.93,-21.31,DrugcombPortal,1411826
DEXAMETHASONE,5743,GELDANAMYCIN,5288382,-4.31,-4.58,-35.76,0.47,DrugcombDB,48452
1032350-13-2,46930998,Silmitasertib,24748573,-8.34,22.27,-11.01,6.53,DrugcombPortal,1310853
CHIR-99021,9956119,10058-F4,1271002,-0.95,0.74,-2.85,1.61,DrugcombPortal,1181116
LAPATINIB,208908,ABT-888,45480520,-5.52,-1.97,-5.52,-0.1,DrugcombDB,5568
CHLORAMBUCIL,2708,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,400633,-5.59,-4.85,-7.54,-3.61,DrugcombDB,377954
LOMUSTINE,3950,NSC 85998,23615975,-3.83,-4.04,-10.73,-9.48,DrugcombDB,392164
FLUDARABINE BASE,3367,DASATINIB,3062316,1.2,9.39,1.2,7.89,DrugcombDB,215455
bleomycin,5360373,5-Aminolevulinic acid hydrochloride,123608,1.02,-0.89,-12.69,-5.88,DrugcombPortal,273315
BORTEZOMIB,387447,GELDANAMYCIN,5288382,12.31,13.01,-42.17,17.85,DrugcombDB,11705
GEMCITABINE,60750,TEMOZOLOMIDE,5394,-4.3,-4.76,-11.58,7.69,DrugcombDB,32972
Tamoxifen citrate,2733525,mitotane,4211,-8.71,-8.54,-6.67,-2.94,DrugcombPortal,139222
ADM HYDROCHLORIDE,32874,EMCYT (PHARMACIA),54611422,-7.25,-8.29,-7.25,-3.2,DrugcombDB,209676
NILOTINIB,644241,ANTIBIOTIC AY 22989,5284616,-11.46,2.74,-12.67,8.55,DrugcombDB,295780
Dovitinib,135398510,"001, RAD",6442177,14.73,30.12,17.08,11.9,DrugcombPortal,1249860
Antibiotic AY 22989,5284616,Vorinostat,5311,-0.94,-5.03,0.87,-4.88,DrugcombPortal,228176
CRIZOTINIB,11626560,CELECOXIB,2662,-4.33,-2.63,-41.72,-2.61,DrugcombDB,303865
Vorinostat,5311,934593-90-5,16124726,13.87,66.62,-8.48,36.64,DrugcombPortal,1403556
methotrexate,126941,cis-Platin,441203,1.81,-2.87,0.09,-2.51,DrugcombPortal,242374
Vorinostat,5311,racemic-Tasocitinib,9818231,-23.4,12.33,-21.58,18.05,DrugcombPortal,1423589
THALIDOMIDE,5426,AMODIAQUINE,2165,2.98,-11.69,2.98,-11.69,DrugcombDB,111881
MECHLORETHAMINE HYDROCHLORIDE,5935,MITOMYCINE,5746,-0.98,-3.59,-9.05,-6.03,DrugcombDB,190282
VANDETANIB,3081361,MITOTANE,4211,1.42,0.78,-11.7,-3.77,DrugcombDB,343670
AZACYTIDINE,9444,SORAFENIB,216239,-3.24,-4.01,-19.54,-7.42,DrugcombDB,213728
temozolomide,5394,Co-V,439693,-4.49,-2.3,-3.13,0.72,DrugcombPortal,199171
MRK-003,15953832,MK-2206,24964624,8.61,6.98,4.53,4.56,DrugcombDB,22417
Tideglusib,11313622,Bexarotene,82146,-2.5,23.86,-0.06,13.41,DrugcombPortal,1381484
EXEMESTANE,60198,thiotepa,5453,8.95,8.39,7.48,5.51,DrugcombPortal,401912
5-Fluoro-2'-deoxyuridine,5790,MITHRAMYCIN,163659,-0.07,-2.24,-11.66,-2.75,DrugcombPortal,241054
CABAZITAXEL,9854073,Carboplatinum,38904,2.33,1.61,0.68,-2.79,DrugcombPortal,361702
zafirlukast,5717,acetazolamide,1986,11.29,-2.75,11.27,-2.75,DrugcombPortal,116042
RALOXIFENE,5035,NSC141540,36462,-1.89,-1.19,-1.12,-0.43,DrugcombDB,134281
thalidomide,5426,Ixabepilone,6445540,1.82,1.07,-21.84,2.96,DrugcombPortal,232549
VX-702,10341154,Stibogluconate,16683013,26.06,123.61,6.07,48.72,DrugcombPortal,1407327
DASA-58,44543605,1268524-70-4,46907787,1.12,8.74,-26.13,6.31,DrugcombPortal,456970
altretamine,2123,anastrozole,2187,-6.14,-1.56,-4.93,1.88,DrugcombPortal,422784
ANASTROZOLE,2187,THALIDOMIDE,5426,-4.43,-2.2,-4.37,-0.48,DrugcombDB,230320
SN-38,104842,MK-8776,16224745,1.24,-5.17,-2.42,-5.84,DrugcombDB,61530
Nilotinib,644241,Dasatinib,3062316,1.55,2.23,-0.6,0.95,DrugcombPortal,151777
Axitinib,6450551,celecoxib,2662,3.3,6.15,3.2,2.0,DrugcombPortal,303969
CHEMBL277800,354624,ZOLEDRONIC ACID,68740,-0.72,2.9,-46.09,3.87,DrugcombDB,269602
ENMD-2076,16041424,KU-55933,5278396,-7.24,-3.01,-7.72,-6.15,DrugcombPortal,1253560
Pazopanib hydrochloride,11525740,Sorafenib,216239,-7.1,-7.29,-25.05,-6.31,DrugcombPortal,311878
Imatinib,5291,ADM hydrochloride,32874,2.79,2.14,-8.16,-0.9,DrugcombPortal,197586
MITOMYCINE,5746,IFOSFAMIDE,3690,-3.36,3.79,-42.31,0.91,DrugcombDB,285429
QUININE,3034034,MITOXANTRONE,4212,4.28,2.82,4.2,2.82,DrugcombDB,123226
L-778123 free base,216454,915019-65-7,11977753,17.52,14.4,15.75,14.56,DrugcombPortal,76667
BX-795,10077147,(+)-JQ1,46907787,-3.71,11.48,-6.85,13.85,DrugcombDB,456672
Vandetanib,3081361,Zoledronic acid,68740,-10.81,-9.44,-12.79,-0.82,DrugcombPortal,411496
MK-1775,24856436,Sorafenib,216239,-0.22,-3.59,-7.56,-1.64,DrugcombPortal,62142
Lenalidomide,216326,cis-Platin,441203,-0.07,2.41,-0.17,-0.25,DrugcombPortal,315011
Saracatinib,10302451,Vemurafenib,42611257,11.99,0.98,1.83,-1.31,DrugcombPortal,1469131
CABAZITAXEL,9854073,CARMUSTINE,2578,3.43,4.9,-14.89,-0.79,DrugcombDB,308601
Dasatinib,3062316,bleomycin,5360373,-0.77,-2.48,-2.39,-7.82,DrugcombPortal,245913
THIOTEPA,5453,GEMZAR (LILLY),356653,1.65,1.73,-9.63,-0.91,DrugcombDB,134068
nilutamide,4493,GW2580,11617559,-19.07,14.31,-2.5,4.57,DrugcombPortal,1317308
Indole-3-carbinol,3712,racemic-Tasocitinib,9818231,-69.02,-57.15,-61.55,-3.59,DrugcombPortal,1291040
NSC733504,6442177,Bortezomib,387447,-0.09,-1.92,-4.97,-3.79,DrugcombPortal,253427
BMS-754807,24785538,Entinostat,4261,6.38,14.71,6.68,13.43,DrugcombPortal,464256
Bortezomib,387447,284028-89-3,135418940,-6.52,47.43,0.5,37.63,DrugcombPortal,1225832
IMD-0354,5081913,Erlotinib,176870,-85.37,-77.31,-45.44,-7.54,DrugcombPortal,1287944
JNK-IN-8,57340686,PRT062607,44462758,6.39,14.97,10.74,10.61,DrugcombPortal,1182868
Sorafenib,216239,IPA-3,521106,-11.91,-22.15,-12.61,-9.82,DrugcombPortal,1363081
L778123,216453,MK-8669,11520894,22.76,8.86,20.39,10.67,DrugcombDB,30874
RUXOLITINIB,25126798,CRIZOTINIB,11626560,-0.85,1.62,-15.89,-4.7,DrugcombDB,320677
EFLORNITHINE,3009,AURANOFIN,24199313,8.82,7.14,8.74,7.14,DrugcombPortal,123347
SUNITINIB,5329102,ELOXATIN (TN) (SANOFI SYNTHELAB),24197464,-1.46,2.69,0.16,-0.25,DrugcombDB,211895
Carboplatinum,38904,6-Mercaptopurine,667490,-9.3,-15.39,-12.74,-15.15,DrugcombPortal,267177
ENMD-2076,16041424,RAF265,11656518,-17.7,-1.93,-29.6,6.92,DrugcombPortal,1252529
Crizotinib,11626560,Zanosar,23615975,-11.67,-10.58,-52.16,-0.68,DrugcombPortal,386465
14913-33-8,5702198,Vatalanib,151194,-19.66,-32.29,-0.86,-14.1,DrugcombPortal,1231942
ZM 336372,5730,BMS-536924,135440466,-9.35,56.68,-67.21,37.01,DrugcombPortal,1413454
MK-4541,59691338,MK-8776,16224745,-1.68,-0.3,-10.48,0.06,DrugcombDB,56369
VINORELBINE,5311497,BORTEZOMIB,387447,1.27,-4.41,-3.64,-4.14,DrugcombDB,29881
Pioglitazone,4829,303727-31-3,9950176,-9.9,-5.75,-18.0,-5.99,DrugcombPortal,1344987
PF-04217903,17754438,934593-90-5,16124726,-7.86,-11.4,-5.82,-4.79,DrugcombPortal,1340426
T0901317,447912,GW0742,9934458,3.41,40.86,6.66,31.29,DrugcombPortal,1373936
thiotepa,5453,Pralatrexate,148121,-1.65,-1.76,-9.92,0.58,DrugcombPortal,256290
NSC-127716,451668,IXABEPILONE,6445540,-0.5,-1.39,-2.88,-3.21,DrugcombDB,224826
Zoledronic acid,68740,pipobroman,4842,0.47,1.33,0.8,-1.84,DrugcombPortal,261483
Axitinib,6450551,methotrexate,126941,2.33,3.83,-8.02,1.1,DrugcombPortal,349413
Vorinostat,5311,ifosfamide,3690,-6.1,-0.06,-4.11,0.38,DrugcombPortal,200508
etoposide,36462,Dasatinib,3062316,4.64,8.02,-2.88,0.45,DrugcombPortal,12168
122111-05-1,46781465,busulfan,2478,3.54,4.46,-18.62,3.3,DrugcombPortal,293300
CRIZOTINIB,11626560,ZOLEDRONIC ACID,68740,3.66,5.18,-4.06,0.7,DrugcombDB,411796
Antibiotic AY 22989,5284616,Bortezomib,387447,2.12,3.49,1.24,-2.66,DrugcombPortal,195030
PAZOPANIB HYDROCHLORIDE,11525740,AXITINIB,6450551,11.98,11.25,11.89,10.61,DrugcombDB,328362
doxorubicin,31703,L-778123 free base,216454,0.33,-6.04,-5.57,-4.62,DrugcombPortal,43997
genz-669178,53494972,317318-70-0,9803963,3.6,7.6,-36.15,5.45,DrugcombPortal,1454783
CHEMBL277800,354624,ADM hydrochloride,32874,-1.7,-6.43,-3.43,-5.43,DrugcombPortal,439020
ALTRETAMINE,2123,CHEMBL277800,354624,-5.34,-2.13,-14.54,-0.37,DrugcombDB,366264
Palonosetron,6337614,gabapentin,3446,-9.28,-22.45,-9.29,-22.45,DrugcombPortal,95483
Retinoic acid,444795,Imatinib,5291,-7.05,-0.64,-6.86,2.55,DrugcombPortal,187307
PD-173955,447077,Gramicidin,16130140,0.214,0.222,0.331,-0.068,DrugcombDB,477906
nilutamide,4493,QS11,42623900,-24.37,9.35,-11.75,11.1,DrugcombPortal,1318010
Navelbine ditartrate (TN),25136944,paclitaxel,36314,-7.29,-11.2,-9.96,-8.78,DrugcombPortal,307630
Fulvestrant,104741,thalidomide,5426,-4.32,-1.56,-4.52,0.32,DrugcombPortal,152643
RAF265,11656518,TCS 401,56972185,17.8,118.75,-27.31,56.72,DrugcombPortal,1228955
MK-4541,59691338,SN-38,104842,11.21,5.67,10.92,-3.79,DrugcombDB,67973
503468-95-9,11327430,HG-14-10-04,56655374,12.93,8.75,8.2,8.15,DrugcombPortal,1206759
Ruxolitinib,25126798,JZL184,25021165,-31.53,-25.24,1.54,-2.12,DrugcombPortal,1353456
ONO-4059 (GS-4059),54755438,Panobinostat,6918837,-0.303,-3.398,-20.714,0.026,DrugcombDB,495604
DEXRAZOXANE,71384,VINCRISTINE SULFATE,249332,1.09,2.36,1.06,2.42,DrugcombDB,227300
Vorinostat,5311,761439-42-3,16038120,-46.17,-44.33,0.66,-3.66,DrugcombPortal,1403978
MITOMYCINE,5746,LAPATINIB,208908,-0.95,-5.96,-9.06,-3.21,DrugcombDB,24245
BLEOMYCIN,5360373,BENDAMUSTINE HYDROCHLORIDE,77082,1.73,2.77,-7.91,-1.78,DrugcombDB,222975
loperamide,3955,Acitretin,5284513,-39.73,-48.81,-39.73,-48.81,DrugcombPortal,97406
SUNITINIB,5329102,MK-2206,24964624,13.26,11.06,-2.06,9.87,DrugcombDB,91946
temozolomide,5394,Erlotinib,176870,-4.0,0.13,-23.93,2.21,DrugcombPortal,40844
Tozasertib,5494449,Dasatinib,3062316,20.0,76.83,15.31,39.8,DrugcombPortal,1387034
"001, RAD",6442177,su6656,5312137,-36.58,-12.11,-33.34,8.76,DrugcombPortal,1419931
SCHEMBL82368,53396328,Olaparib,23725625,-4.22,6.87,-10.34,10.29,DrugcombPortal,461896
Pemetrexed,135410875,7803-88-5,96312,-1.1,6.41,-1.14,4.49,DrugcombPortal,183419
Tideglusib,11313622,Sunitinib,5329102,-2.84,4.64,-4.24,-5.43,DrugcombPortal,1384015
cyclophosphamide,2907,Eloxatin (TN) (Sanofi Synthelab),24197464,-28.73,-30.09,-54.35,-10.26,DrugcombPortal,134978
Selumetinib,10127622,844499-71-4,54708532,-19.92,54.7,-22.95,30.23,DrugcombPortal,1355639
CHEMBL17639,1546,Erlotinib hydrochloride,176871,-6.4,-4.36,-11.44,-7.2,DrugcombPortal,230518
temozolomide,5394,391210-10-9,9826528,9.88,1.17,7.57,2.2,DrugcombPortal,20535
Vemurafenib,42611257,5-Fluorouracil,3385,4.55,4.27,3.59,1.0,DrugcombPortal,430055
Vemurafenib,42611257,cyclophosphamide,2907,-10.03,-4.1,-9.81,2.06,DrugcombPortal,358935
dacarbazine,135398738,altretamine,2123,-1.77,2.38,-3.76,1.35,DrugcombPortal,399867
JTC-801 free base,5311340,pyrimethamine,4993,-0.02,1.01,-21.51,-0.23,DrugcombPortal,1454043
AZD4547,51039095,RO4929097,49867930,11.4,8.37,9.66,6.99,DrugcombPortal,1196241
BEZ-235,11977753,GEFITINIB,123631,2.54,3.54,0.14,3.77,DrugcombDB,463217
IMIQUIMOD,57469,TOPOTECAN HYDROCHLORIDE,60699,-1.48,0.48,-16.62,1.71,DrugcombDB,297059
5-Fluorouracil,3385,geldanamycin,5288382,1.65,-2.41,-3.07,-0.41,DrugcombPortal,25398
gemcitabine,60750,Veliparib,11960529,-24.23,-24.43,0.97,-12.66,DrugcombPortal,1280793
Indole-3-carbinol,3712,GW9662,644213,-14.87,-18.85,-4.02,-7.28,DrugcombPortal,1291525
methoxsalen,4114,cyclophosphamide,2907,4.65,10.43,8.28,7.31,DrugcombPortal,241071
DEXTROMETHORPHAN,5360696,ACETAZOLAMIDE,1986,-9.66,-19.84,-9.66,-19.84,DrugcombDB,94758
1032350-13-2,46930998,284028-89-3,135418940,-15.2,-16.34,-24.33,-14.95,DrugcombPortal,1313138
AZD1775,24856436,MK-4827,24958200,1.85,-3.68,-1.01,-11.14,DrugcombDB,27854
AXITINIB,6450551,MITOTANE,4211,6.9,7.13,7.03,-0.41,DrugcombDB,343737
Tanespimycin,6505803,PF-04217903,17754438,-18.14,-17.53,7.66,0.3,DrugcombPortal,1377871
Selumetinib,10127622,docetaxel,148124,-3.71,29.16,-33.44,18.31,DrugcombPortal,1356273
Pralatrexate,148121,55-86-7,5935,-2.9,-3.23,-4.11,-8.93,DrugcombPortal,207744
MK-4541,59691338,doxorubicin,31703,3.57,1.11,1.65,1.99,DrugcombPortal,33480
FLUDARABINE BASE,3367,IMIQUIMOD,57469,-4.99,-4.88,-4.99,-2.09,DrugcombDB,283922
Nilotinib,644241,Nutlin-3,216345,-26.1,-33.4,6.81,-12.22,DrugcombPortal,1315223
ENMD-2076,16041424,PLX-4720,24180719,-0.26,12.61,-5.91,6.83,DrugcombPortal,1254205
BORTEZOMIB,387447,BEZ-235,11977753,3.31,0.87,-0.7,1.5,DrugcombDB,80525
Romidepsin,5352062,NSC-127716,451668,5.14,0.32,-6.5,2.86,DrugcombPortal,207085
Amiodarone hydrochloride,441325,(-)-Threo-Mefloquine,3000506,1.01,2.71,-10.68,1.74,DrugcombPortal,1455538
Retinoic acid,444795,mitomycin C,5746,-2.18,-1.67,-18.24,-0.56,DrugcombPortal,272967
MK-1775,24856436,geldanamycin,5288382,2.47,-1.0,-4.49,0.76,DrugcombPortal,25511
XL147,1893730,SNS-314,24995524,-9.49,7.32,-9.53,0.57,DrugcombPortal,1429365
MK-2206,24964624,Deforolimus,11520894,15.5,10.98,14.77,9.02,DrugcombPortal,58579
Ruxolitinib,25126798,Nutlin-3,216345,-21.74,-14.66,-26.78,0.58,DrugcombPortal,1424394
Uramustine,6194,6-Mercaptopurine,667490,-7.26,-9.84,-12.94,-4.38,DrugcombPortal,324094
MK-5108,24748204,Erlotinib,176870,12.22,8.24,7.96,7.87,DrugcombPortal,3857
MEGESTROL ACETATE,11683,158798-73-3,400633,-3.76,-1.18,-5.36,0.28,DrugcombPortal,378786
BORTEZOMIB,387447,SORAFENIB,216239,5.77,4.21,-0.49,3.85,DrugcombDB,50548
NSC141540,36462,PRALATREXATE,148121,-0.75,-0.51,-0.4,-2.87,DrugcombDB,367484
VISMODEGIB,24776445,1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,400633,0.69,-0.13,0.55,0.36,DrugcombDB,363001
MITOMYCINE,5746,IXABEPILONE,6445540,-8.43,-1.44,-28.81,-2.37,DrugcombDB,154938
Navelbine ditartrate (TN),25136944,Tamoxifen citrate,2733525,6.71,6.13,-22.55,2.28,DrugcombPortal,327129
Vandetanib,3081361,mitoxantrone,4212,10.51,8.21,-10.72,11.25,DrugcombPortal,312894
Elesclomol,300471,EMBELIN,3218,7.94,-6.66,-11.58,-5.8,DrugcombPortal,1365596
RAF265,11656518,AZD7762,11152667,-5.21,5.9,16.31,11.18,DrugcombPortal,1227345
ZALEPLON,5719,PROCARBAZINE,4915,14.82,-0.13,14.81,-0.13,DrugcombDB,116433
Dasatinib,3062316,NSC733504,6442177,2.75,5.09,2.26,2.48,DrugcombPortal,257832
ACAMPROSATE,71158,SULBACTAM,130313,-11.53,-25.37,-11.55,-25.37,DrugcombDB,105905
5-Fluoro-2'-deoxyuridine,5790,ifosfamide,3690,-0.09,-2.49,-1.84,-5.47,DrugcombPortal,286805
Fludarabine,657237,temozolomide,5394,-8.86,10.63,-5.16,4.31,DrugcombPortal,1278064
Dasatinib,3062316,anastrozole,2187,1.23,1.67,-5.02,0.01,DrugcombPortal,152969
ADM hydrochloride,32874,busulfan,2478,1.14,2.44,3.14,0.38,DrugcombPortal,255577
METHOTREXATE,126941,DINACICLIB,46926350,1.31,-2.99,-3.28,-0.52,DrugcombDB,81425
mitomycin C,5746,Deforolimus,11520894,13.58,8.39,12.64,8.8,DrugcombPortal,58522
RAF265,11656518,GSK 650394,25022668,28.81,77.64,22.3,45.61,DrugcombPortal,1227779
lomustine,3950,Tamoxifen citrate,2733525,-0.95,-1.58,-0.96,-3.18,DrugcombPortal,338516
ANTIBIOTIC AY 22989,5284616,CARMUSTINE,2578,1.68,2.75,-23.44,-3.33,DrugcombDB,252439
raloxifene,5035,cis-Platin,441203,-0.62,10.29,-2.17,12.29,DrugcombPortal,223874
Imatinib,5291,Quinacrine hydrochloride,6239,2.68,-0.28,2.08,-7.09,DrugcombPortal,183203
ETOPOSIDE,36462,LAPATINIB,208908,8.3,5.11,2.94,0.7,DrugcombDB,69582
5-FU,3385,IFOSFAMIDE,3690,-0.41,-0.26,-15.03,-6.29,DrugcombDB,345686
Carboplatinum,38904,hydroxyurea,3657,-1.21,-0.5,-1.27,-0.7,DrugcombPortal,231110
LENALIDOMIDE,216326,TEMOZOLOMIDE,5394,6.99,8.33,6.99,0.2,DrugcombDB,299250
Marizomib / Salinosporamide A,11347535,Valproic acid sodium salt,16760703,-0.248,5.198,-12.595,7.058,DrugcombDB,498829
anastrozole,2187,Vorinostat,5311,-3.93,-3.13,-4.33,-2.42,DrugcombPortal,215776
Fludarabine,657237,Uracil mustard,6194,-0.58,-1.0,-0.57,15.89,SYNERGx,332946
DAUNORUBICIN HYDROCHLORIDE,62770,ACTINOMYCIN D,457193,6.47,7.02,6.78,3.66,DrugcombDB,347892
MEMANTINE,4054,DRONEDARONE,208898,13.28,-1.7,13.27,-1.7,DrugcombDB,117332
