cas_number,Drug_name,table_link,db_id,indication
133040-01-4,Eprosartan,1866X1635,DB00876,"For the management of hypertension alone or in combination with other classes of antihypertensive agents. Also used as a first-line agent in the treatment of diabetic nephropathy, as well as a second-line agent in the treatment of congestive heart failure (only in those intolerant of ACE inhibitors)."
304853-42-7,Tanaproget,1866X1749,,
864821-90-9,Eluxadoline,1866X1865,,For the treatment of irritable bowel syndrome with diarrhea (IBS-D).
68-22-4,Norethisterone,1867X1630,DB00717,"For the treatment of secondary amenorrhea, endometriosis, and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer."
69975-86-6,Doxofylline,1867X1865,,"Indicated for the treatment of chronic obstructive pulmonary disease (COPD), bronchial asthma and pulmonary disease with spastic bronchial component."
98048-97-6,Fosinopril,1869X1623,DB00492,"For treating mild to moderate hypertension, use as an adjunct in treating congestive heart failure, and may be used to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy."
397864-44-7,Fluticasone furoate,1870X1854,,"Fluticasone furoate nasal spray is indicated for the treatment of the symptoms of seasonal and perennial allergic rhinitis in patients aged 2 years and older.     Breo Ellipta, a mixture of fluticasone furoate and vilanterol is indicated for the long-term, once-daily maintenance treatment of airflow obstruction in patients with COPD, including chronic bronchitis and emphysema. It is also indicated for once-daily maintenance treatment of asthma in patients aged 18 or older with reversible obstructive airways disease. Breo Ellipta should not be used for the relief of acute symptoms of asthma or COPD."
849217-68-1,Cabozantinib,1871X1853,DB08875,For the treatment of metastatic medullary thyroid cancer and for the treatment of patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.
30516-87-1,Zidovudine,1872X1623,DB00495,Used in combination with other antiretroviral agents for the treatment of human immunovirus (HIV) infections.
91-33-8,Benzthiazide,1873X1625,DB00562,For the treatment of high blood pressure and management of edema.
941678-49-5,Ruxolitinib,1873X1853,,"Treatment of intermediate or high-risk myelofibrosis, including primary myelofibrosis, post-polycythemia vera (post-PV) myelofibrosis and post-essential thrombocythemia (post-ET) myelofibrosis. [Lexicomp] Myeolofibrosis is the proliferation of abnormal bone marrow stem cells which cause fibrosis (the excessive formation of connective tissue)."
37148-27-9,Clenbuterol,1874X1650,,Used as a bronchodilator in the treatment of asthma patients.
136790-76-6,Lubiprostone,1875X1640,DB01046,For the treatment of chronic idiopathic constipation in the adult population. Also used for the treatment of irritable bowel syndrome with constipation in women who are 18 years of age or older.
101246-66-6,Phenserine,1875X1752,,For the treatment of Alzheimer's disease (AD).
84-22-0,Tetryzoline,1876X1790,,For temporary relief of discomfort and redness of the eye due to minor eye irritations.
853426-35-4,Blinatumomab,1876X1858,,Indicated for the treatment of Philadelphia chromosome-negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).
36894-69-6,Labetalol,1877X1626,DB00598,"For the management of hypertension (alone or in combination with other classes of antihypertensive agents), as well as chronic stable angina pectoris and sympathetic overactivity syndrome associated with severe tetanus. Labetalol is used parenterally for immediate reduction in blood pressure in severe hypertension or in hypertensive crises when considered an emergency, for the control of blood pressure in patients with pheochromocytoma and pregnant women with preeclampsia, and to produce controlled hypotension during anesthesia to reduce bleeding resulting from surgical procedures."
179474-81-8,Prucalopride,1877X1784,,"Investigated for use/treatment in constipation, ileus, and pediatric indications."
91832-40-5,Cefdinir,1878X1623,DB00535,"For the treatment of the respiratory, skin, soft tissue, and ENT infections caused by <i>H. influenzae</i> (including b-lactamase producing strains), <i>H. parainfluenzae</i> (including b-lactamase producing strains), <i>S. pneumoniae</i> (penicillin-susceptible strains), <i>S. pyogenes</i>, <i>S. aureus</i> (including b-lactamase producing strains), and <i>M. catarrhalis</i>."
91-75-8,Antazoline,1878X1850,,"Used to relieve nasal congestion and in eye drops, usually in combination with naphazoline, to relieve the symptoms of allergic conjunctivitis."
51264-14-3,Amsacrine,1879X1615,DB00276,For treatment of acute myeloid leukaemia.
102625-70-7,Pantoprazole,1880X1613,DB00213,Short-term (up to 16 weeks) treatment of erosive esophagitis.
136236-51-6,Rasagiline,1880X1648,DB01367,For the treatment of the signs and symptoms of idiopathic Parkinsons disease as initial monotherapy and as adjunct therapy to levodopa.
738-70-5,Trimethoprim,1881X1620,DB00440,"For the treatment of urinary tract infections, uncomplicated pyelonephritis (with sulfamethoxazole) and mild acute prostatitis. May be used as pericoital (with sulfamethoxazole) or continuous prophylaxis in females with recurrent cystitis. May be used as an alternative to treat asymptomatic bacteriuria during pregnancy (only before the last 6 weeks of pregnancy). Other uses include: alternative agent in respiratory tract infections (otitis, sinusitus, bronchitis and pneumonia), treatment of Pneumocystis jirovecii pneumonia (acute or prophylaxis), Nocardia infections, and traveller's diarrhea."
482-15-5,Isothipendyl,1881X1850,,For the topical treatment of itching associated with allergic reactions.
80125-14-0,Remoxipride,2250X1619,DB00409,Remoxipride is an atypical antipsychotic once used for the treatment of schizophrenia.
82-88-2,Phenindamine,2250X1655,,"Used to treat sneezing, runny nose, itching, watery eyes, hives, rashes, itching, and other symptoms of allergies and the common cold."
81409-90-7,Cabergoline,2251X1614,DB00248,"For the treatment of hyperprolactinemic disorders, either idiopathic or due to prolactinoma (prolactin-secreting adenomas). May also be used to manage symptoms of Parkinsonian Syndrome as monotherapy during initial symptomatic management or as an adjunct to levodopa therapy during advanced stages of disease."
7440-70-2,Calcium,2251X1648,,"Calcium plays a vital role in the anatomy, physiology and biochemistry of organisms and of the cell, particularly in signal transduction pathways. It is vital in cell signaling, muscular contractions, bone health, and signalling cascades."
55-73-2,Bethanidine,2252X1613,DB00217,For the treatment of hypertension.
7047-84-9,Aluminium monostearate,2252X1648,,
175591-23-8,Tapentadol,2252X1778,,"The immediate-release formulation of tapentadol is indicated for the relief of moderate to severe acute pain. The long-acting formulation serves as a continuous, around-the-clock analgesic that is indicated for the relief of moderate to severe chronic pain or neuropathic pain associated with diabetic peripheral neuropathy."
31828-71-4,Mexiletine,2253X1618,DB00379,"For the treatment of ventricular tachycardia and symptomatic premature ventricular beats, and prevention of ventricular fibrillation."
316-81-4,Thioproperazine,2253X1655,,"For the treatment of all types of acute and chronic schizophrenia, including those which did not respond to the usual neuroleptics; manic syndromes."
757971-58-7,Hyaluronidase (Human Recombinant),2253X1778,,Indicated as an adjuvant to increase the absorption and dispersion of other injected drugs; for hypodermoclysis; and as an adjunct in subcutaneous urography for improving resorption of radiopaque agents.
14214-84-7,Oxyphenonium,2254X1613,DB00219,For the treatment of visceral spasms
851199-59-2,Linaclotide,2254X1852,DB08890,Treatment of irritable bowel syndrome (IBS) with constipation and chronic idiopathic constipation.
103-90-2,Acetaminophen,2255X1616,DB00316,"For temporary relief of fever, minor aches, and pains."
42542-10-9,Midomafetamine,2255X1650,,Clinical trials are now testing the therapeutic potential of MDMA for post-traumatic stress disorder (PTSD) and anxiety associated with terminal cancer. MDMA is one of the four most widely used illicit drugs in the U.S.
498-96-4,Guvacine,2255X1851,,There is no approved indication for guvacine.
242478-37-1,Solifenacin,2256X1654,DB01591,"For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency."
847353-30-4,Arbaclofen Placarbil,2256X1852,,"Investigated for the treatment of spasticity in multiple sclerosis, acute back spasms, and GERD."
86029-43-8,Vecuronium,2257X1647,,Vecuronium is a muscle relaxing agent and is used as an ajunct in general anesthesia.
59-41-6,Bretylium,2258X1642,DB01158,"For use in the prophylaxis and therapy of ventricular fibrillation. Also used in the treatment of life-threatening ventricular arrhythmias, such as ventricular tachycardia, that have failed to respond to adequate doses of a first-line antiarrhythmic agent, such as lidocaine."
5588-33-0,Mesoridazine,2259X1635,DB00933,"Used in the treatment of schizophrenia, organic brain disorders, alcoholism and psychoneuroses."
10262-69-8,Maprotiline,2260X1635,DB00934,"For treatment of depression, including the depressed phase of bipolar depression, psychotic depression, and involutional melancholia, and may also be helpful in treating certain patients suffering severe depressive neurosis."
3371-85-5,Voacamine,2260X1750,,For the treatment of malaria. Also under investigation for the modulation of multidrug resistance in cancer cells.
1025967-78-5,Lifitegrast,2260X1898,,For the treatment of signs and symptoms of keratoconjunctivitis sicca (dry eye syndrome).
1156-19-0,Tolazamide,2261X1632,DB00839,For use as an adjunct to diet to lower the blood glucose in patients with non-insulin dependent diabetes mellitus (Type II) whose hyperglycemia cannot be satisfactorily controlled by diet alone.
101-40-6,Propylhexedrine,2261X1787,,"It is used to provide temporary symptomatic relief of nasal congestion due to colds, allergies and allergic rhinitis."
541-15-1,L-Carnitine,2262X1622,DB00583,"For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease."
125-84-8,Aminoglutethimide,2263X1615,DB00357,"For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast."
1209-98-9,Fencamfamine,2263X1648,,"For the the treatment of depressive fatigue in convalescence and other debilitated states as well as in the treatment of depressive day-time fatigue, lack of concentration and lethargy."
154229-19-3,Abiraterone,2263X1769,,"Used in combination with prednisone for the treatment of metastatic, castration-resistant prostate cancer."
53230-10-7,Mefloquine,2264X1615,DB00358,"For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of <i>Plasmodium falciparum</i> (both chloroquine-susceptible and resistant strains) or by <i>Plasmodium vivax</i>. Also for the prophylaxis of <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections, including prophylaxis of chloroquine-resistant strains of <i>Plasmodium falciparum</i>."
33005-95-7,Tiaprofenic acid,2264X1652,,"Tiaprofenic acid is used to treat pain, especially arthritic pain."
83647-97-6,Spirapril,2265X1645,,Spirapril is an ACE inhibitor class drug used to treat hypertension.
901119-35-5,Fostamatinib,2265X1908,,Fostamatinib is indicated for use in the treatment of chronic immune thrombocytopenia (ITP) in patients who have had insufficient response to previous therapy [FDA Label].
56-54-2,Quinidine,1866X1636,DB00908,For the treatment of ventricular pre-excitation and cardiac dysrhythmias
87848-99-5,Acrivastine,1866X1869,,"For the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
41340-25-4,Etodolac,1867X1631,DB00749,"For acute and long-term management of signs and symptoms of osteoarthritis and rheumatoid arthritis, as well as for the management of pain."
,Indirubin-3'-Monoxime,1867X1669,DB02052,
486-67-9,Mersalyl,1867X1867,,"Elevated blood pressure, edema [L1577, L1585]."
37300-21-3,Pentosan Polysulfate,1868X1629,DB00686,For the relief of bladder pain or discomfort associated with interstitial cystitis.
139110-80-8,Zanamivir,1869X1625,DB00558,For the prevention and treatment of influenza A and B.
85-79-0,Cinchocaine,1870X1624,DB00527,For production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks.
91-84-9,Mepyramine,1870X1788,,"Mepyramine is a first generation antihistamine used in treating allergies, ymptomatic relief of hypersensitivity reaction, and in pruritic skin disorders."
186018-45-1,Metreleptin,1870X1858,,Metreleptin is indicated as an adjunct to diet as replacement therapy to treat the complications of leptin deficiency in patients with congenital or acquired generalized lipodystrophy.
59-46-1,Procaine,1871X1630,DB00721,Used as a local anesthetic primarily in oral surgery
70374-39-9,Lornoxicam,1871X1789,,"For the treatment of acute mild to moderate pain, as well as pain and inflammation of the joints caused by certain types of rheumatic diseases."
842133-18-0,Canagliflozin,1871X1854,,Canagliflozin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Use in type 1 diabetes mellitus patients or in treatment of diabetic ketoacidosis is not recommended.
290297-26-6,Netupitant,1872X1858,,Netupitant is an antiemitic drug approved by the FDA in October 2014 for use in combination with palonosetron for the prevention of acute and delayed vomiting and nausea associated with cancer chemotherapy including highly emetogenic chemotherapy.
2609-46-3,Amiloride,1873X1626,DB00594,For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.
591-81-1,Gamma Hydroxybutyric Acid,1874X1651,,"Used as a general anesthetic, to treat conditions such as insomnia, clinical depression, narcolepsy, and alcoholism, and to improve athletic performance."
145158-71-0,Tegaserod,1875X1641,DB01079,Provides relief from the symptoms of irritable bowel syndrome including chronic idiopathic constipation.
52645-53-1,Permethrin,1875X1753,,For the treatment of infestation with <i>Sarcoptes scabiei</i> (scabies).
869886-67-9,Ulixertinib,1875X1953,,
80573-04-2,Balsalazide,1876X1639,DB01014,For the treatment of mildly to moderately active ulcerative colitis.
66376-36-1,Alendronic acid,1877X1627,DB00630,For the treatment and prevention of osteoporosis in women and Paget's disease of bone in both men and women.
204656-20-2,Liraglutide,1877X1787,,For use in/treatment of diabetes mellitus type 2.
918504-65-1,Vemurafenib,1877X1853,DB08881,"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271]   Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"
15574-96-6,Pizotifen,1878X1777,,Indicated for the prophylactic management of migraines [L2292].
306-60-5,Agmatine,1878X1851,,"Agmatine is being studied experimentally for several indications such as cardioprotection, diabetes, decreased kidney function, neuroprotection (stroke, severe CNS injuries, epilepsy, glaucoma, and neuropathic pain), and psychiatric conditions (depression, anxiety, schizophrenia, and cognition). As an investigational drug, agamatine is being studied in a non-blinded prospective case study in the United States looking at patients who have been diagnosed with small fiber peripheral neuropathy."
122647-31-8,Ibutilide,1879X1616,DB00308,Indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm.
86-13-5,Benzatropine,1880X1614,DB00245,For use as an adjunct in the therapy of all forms of parkinsonism and also for use in the control of extrapyramidal disorders due to neuroleptic drugs.
54910-89-3,Fluoxetine,1881X1621,DB00472,"Labeled indication include: major depressive disorder (MDD), moderate to severe bulimia nervosa, obsessive-compulsive disorder (OCD), premenstrual dysphoric disorder (PMDD), panic disorder with or without agoraphobia, and combination treatment with olanzapine for treatment-resistant or bipolar I depression. Unlabeled indications include: selective mutism, mild dementia-associated agitation in nonpsychotic patients, post-traumatic stress disorder (PTSD), social anxiety disorder, chronic neuropathic pain, fibromyalgia, and Raynaud's phenomenon."
461432-26-8,Dapagliflozin,1881X1780,,"Dapagliflozin is indicated for adjunct management of glycemic control in patients with type 2 diabetes mellitus, in combination with diet and exercise."
95058-81-4,Gemcitabine,2250X1620,DB00441,"Gemcitabine is indicated for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy; metastatic ovarian cancer; inoperable, locally advanced (Stage IIIA or IIIB), or metastatic (Stage IV) non-small cell lung cancer; and locally advanced (nonresectable Stage II or Stage III) or metastatic (Stage IV) adenocarcinoma of the pancreas."
3737-09-5,Disopyramide,2251X1615,DB00280,"For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug."
152-72-7,Acenocoumarol,2252X1649,,"For the treatment and prevention of thromboembolic diseases. More specifically, it is indicated for the for the prevention of cerebral embolism, deep vein thrombosis, pulmonary embolism, thromboembolism in infarction and transient ischemic attacks. It is used for the treatment of deep vein thrombosis and myocardial infarction."
34839-70-8,Metiamide,2252X1850,,"Potential in the treatment and the management of acid-reflux disorders (GERD), peptic ulcer disease, heartburn, and acid indigestion."
122320-73-4,Rosiglitazone,2253X1619,DB00412,Rosiglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
162401-32-3,Roflumilast,2253X1656,DB01656,Roflumilast is indicated as a treatment to reduce the risk of COPD exacerbations in patients with severe COPD associated with chronic bronchitis and a history of exacerbations. Roflumilast is not a bronchodilator and is not indicated for the relief of acute bronchospasm.
57-85-2,Testosterone propionate,2254X1649,DB01420,Testosterone propionate is often used for muscle mass building. The original medical indication is for the treatment of androgen deficiency in male adults either in hypogonadism or andropause.[L1161] Nowadays testosterone propionate is indicated for its use in heifers in order to stimulate maximal growth.[L1160]
60-26-4,Hexamethonium,2254X1854,,
22316-47-8,Clobazam,2255X1617,DB00349,"For treatment and management of epilepsy and seizures associated with Lennox-Gastaut syndrome, a difficult-to-treat form of childhood epilepsy."
159351-69-6,Everolimus,2255X1654,,"Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole.  Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease.  Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib.  Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery.  Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected."
160970-54-7,Silodosin,2255X1778,,Treatment for symptomatic relief of benign prostatic hyperplasia
69308-37-8,Arbaclofen,2255X1852,,"Investigated in clinical trials as a potential treatment for spasticity in multiple sclerosis, autism spectrum disorder, and social withdrawal in fragile X syndrome."
7492-32-2,Isopropamide,2256X1655,,"For the treatment of a wide range of gastrointestinal disorders, including such conditions as peptic ulcer, gastritis, hyperchlorhydria, functional diarrhea, irritable or spastic colon, pyloroduodenal irritability, pylorospasm, acute nonspecific gastroenteritis, biliary dyskinesia and chronic cholelithiasis, duodenitis, gastrointestinal spasm; it may also be used to treat genitourinary spasm."
4757-55-5,Dimetacrine,2256X1855,,
28860-95-9,Carbidopa,2257X1612,DB00190,"For treatment of the symptoms of idiopathic Parkinson's disease (paralysis agitans), post-encephalitic parkinsonism"
339-44-6,Glycodiazine,2257X1648,,Glycodiazine is used concomitantly with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus.
59865-13-3,Cyclosporine,2258X1609,DB00091,"For treatment of transplant (kidney, liver, and heart) rejection, rheumatoid arthritis, severe psoriasis."
79-17-4,Pimagedine,2258X1763,DB05383,Investigated for use/treatment in diabetic kidney disease.
23214-92-8,Doxorubicin,2259X1637,DB00997,"Doxorubicin is used to produce regression in disseminated neoplastic conditions like acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms’ tumor, neuroblastoma, soft tissue and bone sarcomas, breast carcinoma, ovarian carcinoma, transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, Hodgkin’s disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer."
144701-48-4,Telmisartan,2260X1636,DB00966,"Used alone or in combination with other classes of antihypertensives for the treatment of hypertension. Also used in the treatment of diabetic nephropathy in hypertensive patients with type 2 diabetes mellitus, as well as the treatment of congestive heart failure (only in patients who cannot tolerate ACE inhibitors)."
23031-25-6,Terbutaline,2261X1633,DB00871,"For the prevention and reversal of bronchospasm in patients 12 years of age and older with reversible, obstructive airway disease, as well as symptomatic management of reversible bronchospasm associated with bronchitis and emphysema. Also used acute IV and sub-Q therapy in selected women to inhibit uterine contractions in preterm labor (tocolysis) and prolong gestation when beneficial."
274693-27-5,Ticagrelor,2262X1848,DB08816,For the prevention of thrombotic events (for example stroke or heart attack) in patients with acute coronary syndrome or myocardial infarction with ST elevation.
,Barbituric acid derivative,2263X1649,,
15676-16-1,Sulpiride,2264X1616,DB00391,Sulpiride is indicated for the treatment of schizophrenia.
71-63-6,Digitoxin,2265X1646,,"For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure."
5818-17-7,Methantheline,1866X1637,DB00940,"For the treatment of peptic ulcer disease, irritable bowel syndrome, pancreatitis, gastritis, biliary dyskinesia, pylorosplasm, and reflex neurogenic bladder in children."
16320-04-0,Gestrinone,1866X1900,,"Endometriosis with or without accompanying sterility. Treatment is limited to a single course of 6 months duration per lifetime [L1699, L1700]."
437-38-7,Fentanyl,1867X1633,DB00813,For the treatment of cancer patients with severe pain that breaks through their regular narcotic therapy.
6533-00-2,Norgestrel,1867X1868,,Norgestrel in combination with ethinyl estradiol is indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception.
138112-76-2,Agomelatine,1868X1786,,Agomelatine is indicated for the treatment of major depressive episodes in adults.
782500-75-8,Albiglutide,1868X1858,DB09043,Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
74191-85-8,Doxazosin,1869X1626,DB00590,For treatment and management of mild to moderate hypertension and urinary obstruction symptoms caused by BPH.
147536-97-8,Bosentan,1870X1625,DB00559,"Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms)."
656247-17-5,Nintedanib,1870X1859,,Nintedanib is indicated for the treatment of idiopathic pulmonary fibrosis (IPF).
26675-46-7,Isoflurane,1871X1631,DB00753,For induction and maintenance of general anesthesia.
209342-40-5,Finafloxacin,1871X1858,,"Finafloxacin is indicated for the treatment of acute otitis externa (AOE) with or without an otowick, caused by susceptible strains of <i>Pseudomonas aeruginosa</i> and <i>Staphylococcus aureus</i> in patients age 1 year and older."
309-29-5,Doxapram,1872X1625,DB00561,For use as a temporary measure in hospitalized patients with acute respiratory insufficiency superimposed on chronic obstructive pulmonary disease.
1405-87-4,Bacitracin,1873X1627,DB00626,"For the treatment of infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. Also used in ointment form for topical treatment of a variety of localized skin and eye infections, as well as for the prevention of wound infections. Used against gram positive bacteria. Bacitracin is also used as an inhibitor of proteases and other enzymes.   However, specific activity of bactracin's inhibition of protein disulfide isomerase has been called into question."
854601-70-0,Naloxegol,1873X1858,,Indicated for the treatment of opioid-induced constipation (OIC) in adult patients with chronic non-cancer pain.
51-41-2,Norepinephrine,1874X1619,DB00368,Mainly used to treat patients in vasodilatory shock states such as septic shock and neurogenic shock and has shown a survival benefit over dopamine. Also used as a vasopressor medication for patients with critical hypotension.
1622-62-4,Flunitrazepam,1874X1654,,"For short-term treatment of severe insomnias, that are not responsive to other hypnotics."
87857-41-8,Desmethylsertraline,1874X1957,,
20537-88-6,Amifostine,1875X1643,DB01143,For reduction in the cumulative renal toxicity in patients with ovarian cancer (using cisplatin) and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.
141200-24-0,Darglitazone,1875X1956,,
356-12-7,Fluocinonide,1876X1640,DB01047,A topical anti-inflammatory product for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
5638-76-6,Betahistine,1877X1788,,For the reduction of episodes of vertigo association with Ménière's disease.
26844-12-2,Indoramin,1877X1855,,
76-75-5,Thiopental,1878X1625,DB00599,"For use as the sole anesthetic agent for brief (15 minute) procedures, for induction of anesthesia prior to administration of other anesthetic agents, to supplement regional anesthesia, to provide hypnosis during balanced anesthesia with other agents for analgesia or muscle relaxation, for the control of convulsive states during or following inhalation anesthesia or local anesthesia, in neurosurgical patients with increased intracranial pressure, and for narcoanalysis and narcosynthesis in psychiatric disorders."
668270-12-0,Linagliptin,1878X1852,,Linagliptin is used for the management of type 2 diabetes mellitus.
83881-51-0,Cetirizine,1879X1617,DB00341,"For the relief of symptoms associated with seasonal allergic rhinitis, perennial allergic rhinitis and the treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria"
13461-01-3,Aceprometazine,1879X1655,,Aceprometazine is often used in combination with meprobamate for the treatment of sleep disorders.
58-55-9,Theophylline,1880X1615,DB00277,"For the treatment of the symptoms and reversible airflow obstruction associated with chronic asthma and other chronic lung diseases, such as emphysema and chronic bronchitis."
152-02-3,Levallorphan,1881X1622,DB00504,"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids."
96847-54-0,Levomilnacipran,1881X1853,,Levomilnacipran is a serotonin and norepinephrine reuptake inhibitor and is indicated for the treatment of major depressive disorder (MDD).
532-77-4,Hexylcaine,2250X1621,DB00473,"Used as a local anesthetic for surface application, infiltration or nerve block"
76-74-4,Pentobarbital,2251X1616,DB00312,For the short-term treatment of insomnia.
57-44-3,Barbital,2251X1651,,
850649-61-5,Alogliptin,2251X1778,,Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
137-58-6,Lidocaine,2252X1615,DB00281,For production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks.
27223-35-4,Ketazolam,2252X1654,,"Ketazolam could be used for the treatment of anxiety. In approved countries, it is indicated for the treatment of anxiety, tension, irritability and similar stress related symptoms."
29767-20-2,Teniposide,2253X1620,DB00444,Teniposide is used for the treatment of refractory acute lymphoblastic leukaemia
15686-51-8,Clemastine,2254X1615,DB00283,"For the relief of symptoms associated with allergic rhinitis such as sneezing, rhinorrhea, pruritus and acrimation. Also for the management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Used as self-medication for temporary relief of symptoms associated with the common cold."
36735-22-5,Quazepam,2254X1654,,Used to treat insomnia.
485-35-8,Cytisine,2254X1856,,Indicated for use in smoking cessation.
88150-42-9,Amlodipine,2255X1618,DB00381,For the treatment of hypertension and chronic stable angina.
53772-83-1,Zuclopenthixol,2255X1655,DB01624,"Used in the management of acute psychoses such as mania or schizophrenia. However, the use of zuclopenthixol acetate in psychiatric emergencies as an alternative to standard treatments (haloperidol, clotiapine, etc.) should be cautioned, since well executed and documented trials of zuclopenthixol acetate for this use have yet to be conducted. Zuclopenthixol acetate is not intended for long-term use."
75558-90-6,Amperozide,2255X1853,,
55-92-5,Methacholine,2256X1787,,"It is most commonly used for diagnosing bronchial hyperreactivity, using the bronchial challenge test."
618385-01-6,Vorapaxar,2256X1856,DB09030,"Vorapaxar is indicated for the reduction of thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD). It is usually co-administered with acetylsalicylic acid (ASA) and/or clopidogrel, and should therefore be administered as an addition to these medications as it has not been studied alone."
93479-97-1,Glimepiride,2257X1613,DB00222,For concomitant use with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus.
50-81-7,Vitamin C,2258X1610,DB00126,"Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent."
51333-22-3,Budesonide,2258X1644,DB01222,"The oral capsule is used for the treatment of mild to moderate active Crohn's disease. The oral tablet is used for induction of remission in patients with active, mild to moderate ulcerative colitis. The oral inhalation formulation is used for the treatment of asthma, non-infectious rhinitis (including hay fever and other allergies), and for treatment and prevention of nasal polyposis."
22131-79-9,Alclofenac,2258X1945,,"Alclofenac is indicated in rheumatology, in particular for the treatment of rheumatoid arthritis, ankylosing spondylitis and, as an analgesic, in painful arthritic pathologies."
